CALLS,,PUTS,,,,,,,,,,,,,,,,,,,,,,,,
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID PRICE,ASK PRICE,ASK QTY,STRIKE PRICE,BID QTY,BID PRICE,ASK PRICE,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,,,,,
,240.00,10.00,31.00,29.24,3.20,-1.75,4550.00,3.20,3.45,4550.00,1030.00,650.00,73.90,86.50,3250.00,-,-,-,-,-,-,,,,,
,101.00,-6.00,94.00,30.64,2.80,-1.10,4550.00,2.55,2.65,650.00,1040.00,650.00,83.65,98.95,3250.00,-,-,-,-,-,-,,,,,
,387.00,-2.00,127.00,31.68,2.30,-0.75,1950.00,2.25,2.35,7150.00,1050.00,1950.00,84.20,105.10,1300.00,-,-,-,-,-,5.00,,,,,
,268.00,21.00,95.00,32.88,1.90,-0.60,650.00,1.80,1.90,1300.00,1060.00,2600.00,91.75,112.40,1950.00,-,-,-,-,-,-,,,,,
,74.00,-,1.00,36.10,2.05,-0.10,3250.00,1.40,3.30,26650.00,1070.00,28600.00,98.65,129.95,2600.00,-,-,-,-,-,-,,,,,
,75.00,1.00,2.00,37.42,1.80,0.10,650.00,1.10,3.50,650.00,1080.00,2600.00,109.95,139.60,1950.00,-,-,-,-,-,-,,,,,
,12.00,-,-,-,-,-,650.00,1.10,2.00,650.00,1090.00,1950.00,119.80,148.10,1950.00,-,-,-,-,-,-,,,,,
,583.00,25.00,71.00,38.47,1.15,-0.35,650.00,1.15,1.20,1300.00,1100.00,1950.00,141.35,155.80,3900.00,-,-,-,-,-,2.00,,,,,
,8.00,-,-,-,-,-,1300.00,0.35,3.00,1300.00,1110.00,1950.00,139.95,169.10,1950.00,-,-,-,-,-,-,,,,,
,63.00,-,-,-,-,-,1300.00,0.75,-,-,1120.00,1950.00,149.90,179.10,1950.00,-,-,-,-,-,-,,,,,
,2.00,-,-,-,-,-,1300.00,0.35,-,-,1130.00,1950.00,159.90,189.20,1950.00,-,-,-,-,-,-,,,,,
,8.00,-,-,-,-,-,1300.00,0.35,-,-,1140.00,1950.00,169.90,199.20,1950.00,-,-,-,-,-,-,,,,,
,108.00,-,-,-,-,-,650.00,0.50,1.00,1300.00,1150.00,1950.00,180.00,207.20,1950.00,-,-,-,-,-,-,,,,,
,-,-,-,-,-,-,7150.00,0.10,3.10,3250.00,1160.00,1950.00,189.70,219.60,1950.00,-,-,-,-,-,-,,,,,
,-,-,-,-,-,-,7150.00,0.10,-,-,1170.00,26000.00,187.25,241.90,26000.00,-,-,-,-,-,-,,,,,
,-,-,-,-,-,-,7150.00,0.10,2.75,26000.00,1180.00,26000.00,196.40,249.15,26000.00,-,-,-,-,-,-,,,,,
,-,-,-,-,-,-,7150.00,0.10,-,-,1190.00,26000.00,205.85,261.45,26000.00,-,-,-,-,-,-,,,,,
,11.00,-,2.00,-,0.15,-0.60,1300.00,0.15,0.45,1300.00,1200.00,1300.00,227.10,255.00,650.00,-,-,-,-,-,12.00,,,,,
,1.00,-,-,-,-,-,3250.00,0.05,-,-,1210.00,26000.00,222.50,267.10,26000.00,-,-,-,-,-,-,,,,,
,-,-,-,-,-,-,7150.00,0.05,2.90,3250.00,1220.00,26000.00,231.85,278.60,26000.00,-,-,-,-,-,-,,,,,
,-,-,-,-,-,-,3900.00,0.05,1.70,26000.00,1230.00,26000.00,242.80,295.35,26000.00,-,-,-,-,-,-,,,,,
,-,-,-,-,-,-,7150.00,0.05,3.00,1300.00,1240.00,26000.00,249.05,306.55,26000.00,-,-,-,-,-,-,,,,,
,-,-,-,-,-,-,7150.00,0.05,2.95,26000.00,1250.00,26000.00,256.40,317.55,26000.00,-,-,-,-,-,-,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
