CALLS,,PUTS,,,,,,,,,,,,,,,,,,,
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID PRICE,ASK PRICE,ASK QTY,STRIKE PRICE,BID QTY,BID PRICE,ASK PRICE,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI
,1943.00,48.00,85.00,50.55,0.50,-0.20,2400.00,0.50,0.55,8400.00,1800.00,1800.00,370.90,375.30,900.00,-,-,-,-,-,624.00
,29.00,-,-,-,-,-,600.00,0.25,0.45,600.00,1820.00,300.00,368.80,409.85,300.00,-,-,-,-,-,4.00
,25.00,-,-,-,-,-,9000.00,0.10,1.95,1800.00,1840.00,300.00,387.55,424.30,300.00,-,-,-,-,-,13.00
,6.00,-,1.00,52.78,0.30,-0.05,300.00,0.25,1.75,600.00,1860.00,600.00,406.30,438.20,300.00,-,-,-,-,-,4.00
,9.00,-,-,-,-,-,300.00,0.35,2.40,1200.00,1880.00,300.00,428.60,463.95,300.00,-,-,-,-,-,3.00
,374.00,-,22.00,57.49,0.35,-0.10,600.00,0.30,0.40,600.00,1900.00,900.00,467.95,476.35,300.00,-,-,-,-,-,156.00
,-,-,-,-,-,-,9000.00,0.10,2.00,600.00,1920.00,12000.00,432.00,540.35,12000.00,-,-,-,-,-,-
,-,-,-,-,-,-,9000.00,0.10,2.00,600.00,1940.00,12000.00,449.90,562.70,12000.00,-,-,-,-,-,-
,-,-,-,-,-,-,9000.00,0.10,2.45,1800.00,1960.00,600.00,499.90,563.20,900.00,-,-,-,-,-,3.00
,5.00,-,-,-,-,-,9000.00,0.10,1.15,600.00,1980.00,12000.00,486.45,607.80,12000.00,-,-,-,-,-,1.00
,205.00,-,-,-,-,-,9000.00,0.10,0.25,1200.00,2000.00,900.00,544.20,579.20,1200.00,-,-,-,-,-,26.00
,-,-,-,-,-,-,9000.00,0.05,-,-,2020.00,12000.00,522.85,652.95,12000.00,-,-,-,-,-,-
,-,-,-,-,-,-,9000.00,0.05,-,-,2040.00,12000.00,540.80,675.15,12000.00,-,-,-,-,-,-
,-,-,-,-,-,-,9000.00,0.05,-,-,2060.00,12000.00,558.95,698.65,12000.00,-,-,-,-,-,-
,-,-,-,-,-,-,9000.00,0.05,-,-,2080.00,12000.00,577.10,719.10,12000.00,-,-,-,-,-,-
,41.00,-,-,-,-,-,9000.00,0.05,2.70,1200.00,2100.00,12000.00,595.00,742.60,12000.00,-,-,-,-,-,-
,-,-,-,-,-,-,3000.00,0.05,-,-,2120.00,12000.00,613.10,763.75,12000.00,-,-,-,-,-,-
,-,-,-,-,-,-,3000.00,0.05,-,-,2140.00,12000.00,633.15,786.60,12000.00,-,-,-,-,-,-
,-,-,-,-,-,-,3000.00,0.05,-,-,2160.00,12000.00,649.85,810.25,12000.00,-,-,-,-,-,-
,-,-,-,-,-,-,3000.00,0.05,-,-,2180.00,12000.00,667.70,831.50,12000.00,-,-,-,-,-,-
,-,-,-,-,-,-,3000.00,0.05,2.85,1800.00,2200.00,12000.00,683.50,854.00,12000.00,-,-,-,-,-,-
,-,-,-,-,-,-,3000.00,0.05,-,-,2220.00,12000.00,702.45,877.45,12000.00,-,-,-,-,-,-
,-,-,-,-,-,-,3000.00,0.05,-,-,2240.00,12000.00,720.55,898.70,12000.00,-,-,-,-,-,-
,-,-,-,-,-,-,3000.00,0.05,-,-,2260.00,12000.00,738.80,920.20,12000.00,-,-,-,-,-,-
,95.00,-,-,-,-,-,300.00,0.10,2.80,1200.00,2280.00,12000.00,757.65,943.35,12000.00,-,-,-,-,-,-
,114.00,-,-,-,-,-,3000.00,0.05,0.20,900.00,2300.00,12000.00,783.75,966.30,12000.00,-,-,-,-,-,-
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
