CALLS,,PUTS,,,,,,,,,,,,,,,,,,,
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID PRICE,ASK PRICE,ASK QTY,STRIKE PRICE,BID QTY,BID PRICE,ASK PRICE,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI
,3237.00,820.00,8921.00,29.17,46.20,2.40,250.00,46.05,46.20,250.00,2660.00,250.00,88.15,88.75,500.00,-13.80,88.55,35.98,"1,491",82,978
,1433.00,111.00,4099.00,29.28,38.40,1.60,750.00,38.35,38.55,250.00,2680.00,500.00,100.20,101.05,250.00,-14.30,101.45,36.26,299,2,482
,11149.00,1067.00,16629.00,29.34,31.80,1.00,250.00,31.65,31.80,2000.00,2700.00,250.00,113.25,114.40,250.00,-15.70,114,36.57,929,-83,"3,964"
,3652.00,587.00,3580.00,29.41,26.00,-0.10,500.00,26.30,26.55,750.00,2720.00,250.00,128.00,129.15,250.00,-13.35,131.8,36.35,64,1,495
,3598.00,168.00,2994.00,29.86,21.95,-,1000.00,21.90,22.15,250.00,2740.00,250.00,143.50,144.75,250.00,-16.40,144.8,35.3,74,-8,687
,2941.00,283.00,2737.00,30.42,18.55,-0.30,250.00,18.55,18.70,250.00,2760.00,250.00,159.60,161.85,250.00,-13.15,165.3,39.06,33,-,584
,2801.00,10.00,1618.00,31.13,15.85,-0.60,500.00,15.85,16.00,250.00,2780.00,2000.00,177.00,179.05,250.00,-15.70,178.5,37.13,7,-1,546
,17450.00,613.00,9470.00,31.80,13.60,-0.60,1000.00,13.60,13.70,250.00,2800.00,250.00,194.40,196.10,1750.00,-17.90,195.75,42.08,268,-32,"1,817"
,2298.00,79.00,1115.00,32.57,11.70,-0.70,500.00,11.80,11.95,750.00,2820.00,500.00,210.65,216.50,250.00,-,-,-,-,-,146
,2316.00,-42.00,1282.00,33.51,10.25,-0.50,500.00,10.20,10.30,250.00,2840.00,250.00,230.30,234.85,500.00,0.90,237.9,44.47,2,-,154
,2002.00,-63.00,1442.00,34.13,8.90,-0.45,500.00,8.90,8.95,250.00,2860.00,250.00,249.25,252.20,250.00,-29.35,235.25,21.92,1,-,263
,897.00,23.00,694.00,34.74,7.40,-0.70,750.00,7.60,7.70,500.00,2880.00,1000.00,265.00,274.05,1250.00,-29.40,236.35,-,1,-,47
,8184.00,364.00,4102.00,35.04,6.40,-0.65,500.00,6.45,6.55,1000.00,2900.00,250.00,286.40,289.75,1500.00,-11.60,292.7,47.55,10,-1,422
,592.00,-2.00,628.00,36.07,5.75,-0.40,750.00,5.70,5.80,500.00,2920.00,250.00,303.20,314.65,750.00,-,-,-,-,-,8
,1092.00,15.00,282.00,36.67,4.90,-0.50,1250.00,4.95,5.05,750.00,2940.00,1500.00,322.50,338.25,750.00,-,-,-,-,-,5
,904.00,15.00,646.00,37.50,4.45,-0.35,250.00,4.45,4.50,1000.00,2960.00,1500.00,342.00,357.85,750.00,-,-,-,-,-,3
,467.00,1.00,253.00,38.50,4.10,-0.25,750.00,4.05,4.15,750.00,2980.00,1500.00,363.00,378.90,750.00,-,-,-,-,-,1
,8135.00,303.00,3134.00,39.29,3.65,-0.30,750.00,3.70,3.75,250.00,3000.00,250.00,383.10,387.00,250.00,-21.10,368.9,-,3,-,138
,483.00,39.00,286.00,40.19,3.30,-0.30,2250.00,3.30,3.40,250.00,3020.00,1250.00,399.60,415.75,750.00,-,-,-,-,-,-
,298.00,8.00,155.00,41.12,3.05,-0.30,750.00,3.10,3.20,500.00,3040.00,1250.00,419.15,435.20,750.00,-,-,-,-,-,-
,475.00,-3.00,268.00,41.98,2.80,-0.25,1000.00,2.85,2.95,500.00,3060.00,1250.00,439.15,455.30,750.00,-,-,-,-,-,-
,199.00,-,77.00,42.74,2.55,-0.25,1250.00,2.60,2.70,500.00,3080.00,1250.00,458.85,475.05,750.00,-,-,-,-,-,-
,2638.00,163.00,708.00,43.57,2.35,-0.15,1250.00,2.35,2.40,750.00,3100.00,1250.00,478.00,491.20,750.00,-,-,-,-,-,8
